text1,text2,derived_pair,label
Often there is a lot of [hard] work hot sweaty travel that precedes that moment .,"hard: Firm, solid, resistant to pressure, tangible",hardened travel,0
"For my soul sees beyond the facts ( “ a twelve - year - old in west Sacramento by herself , a full day on Regional Transit , what kind of mother would allow that ? ” ) , and sees that pilgrimage to Tower Records as part of a deep unconscious [hard] wiring beyond volition , something I was meant to do .","hard: Firm, solid, resistant to pressure, tangible",hardened wiring,1
So you have made the switch from Linux to Mac OSX and you realize that owning a Mac is not just about [cool] software it is about some of the greatest hardware you will ever use .,cool: of or at a relatively low temperature,cooled software,0
"We 're one of the few places in the US where you can get these [cool] tasting peppermint mints , so order them today .",cool: of or at a relatively low temperature,cooled mints,1
The cabin was 4000 feet above sea level and got quite [cool] at night .,cool: of or at a relatively low temperature,cooled got,1
The 13 - member Boston City Council in January will have four black councilors and Andrea Campbell is poised to take the gavel as the first [black] City Council president since 2001 .,"black: evil, bad, unsavory",blackened president,0
Colour settings in white ( RAL 9016 ) and [black] ( RAL 9005 ) .,"black: evil, bad, unsavory",blackened settings,0
How [cool] is this ? !,cool: of or at a relatively low temperature,cooled is,0
"It was a strange picture outside the modern University Hospital ’s main doors when an emergency vehicle arrived in the middle of the night , hotly pursued by an obscure figure in [black] robes on a white horse .","black: evil, bad, unsavory",blackened robes,0
"Choose the latest styles to accent your work wardrobe , find a hip new color to add to that classic [black] dress , or add some exciting new textures to an already outrageous and fashion - forward ensemble .","black: evil, bad, unsavory",blackened dress,0
"It is [hard] to tell whether property prices will continue to rise until a recession knocks them down , or i f a rise in interest rates creates a much softer landing .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"Store it in a dry , [cool] space , preferably in a board bag like the Inflatable SUP Roller Backpack that comes with your SUP package .",cool: of or at a relatively low temperature,cooled space,1
"Highly recognized as the go - to company for Hoffman Estates Tile and Grout Cleaners , Sir Grout specializes in several premium Hoffman Estates [hard] surface restoration services .","hard: Firm, solid, resistant to pressure, tangible",hardened surface,1
"Even as a diehard lover of the fantasy sci - fi schtick that Warhammer 40 K is peddling , I found the ‘ magical item is prophesised to destroy the world so we have to all kill each over it ’ storyline a little [hard] to look at uncritically .","hard: Firm, solid, resistant to pressure, tangible",hardened [,0
In the great scheme of things you actually secure a B+ just for [hard] work .,"hard: Firm, solid, resistant to pressure, tangible",hardened work,0
I chose to use the heat sinks to keep them extra [cool] .,cool: of or at a relatively low temperature,cooled chose,1
Convey your kitchen into the 21st century with the most recent [cool] electronic devices .,cool: of or at a relatively low temperature,cooled devices,0
"The boards I used were cheap ones with a lot of quarter size and larger black , rock [hard] knots , some of the knots exploded when being planed , however the blades stay sharp with no nicks .","hard: Firm, solid, resistant to pressure, tangible",hardened knots,1
"Why not learn from others , get advice and guidance , and leverage the wisdom of others gained the [hard] way ?","hard: Firm, solid, resistant to pressure, tangible",hardened way,0
Different types of pen drives and [hard] drives at discounted rates .,"hard: Firm, solid, resistant to pressure, tangible",hardened [,1
"When you sign up we will ask if you have the following : black pants , [black] t - shirt , dark suit jacket or blazer , good dark colored walking shoes .","black: evil, bad, unsavory",blackened shirt,0
I ’m sorry to hear that your having a [hard] time with the stitch .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
"But the [cool] thing is , you can start right now by simply organizing and letting go of clutter .",cool: of or at a relatively low temperature,cooled thing,0
"All my efforts – educational , activist , organizational – do n’t change the fact that in this country my [black] friends , and all those black Americans I do n’t know personally , suffer constant daily assaults on their beauty , their intelligence , their home - bodyness .","black: evil, bad, unsavory",blackened friends,0
Surface color is [black] and they feature a thermostatically - controlled heated ceramic glass surface to help hold your food hot and delicious .,"black: evil, bad, unsavory",blackened is,0
I almost always skipped this step because I always thought using a cleanser gave my skin a really [hard] time .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
Looking for a dumpster to rent should n't be so [hard] as there are several companies offering the services .,"hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"Again , it is [hard] to say .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
The question they pose in this spot is n’t one that has been asked very much and I think it is a great question and a [cool] sureal way to show what the world would be like without progression .,cool: of or at a relatively low temperature,cooled sureal,0
"This is because you would not like to have any [hard] feelings , as it may affect your future job .","hard: Firm, solid, resistant to pressure, tangible",hardened feelings,0
Genting Highlands is a [cool] hill station set amidst the cool mountain air and a majestic 100 million - year - old rainforest .,cool: of or at a relatively low temperature,cooled station,0
She 's so [cool] as Rita Vrataski .,cool: of or at a relatively low temperature,cooled 's,0
We also got to see Invincible perform that evening and see firsthand the [hard] work she puts into every performance .,"hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"Created using some really [cool] stick like seeds and large Kukui Nuts with Mother - of - Pearl beads , sparkling Swarovski Crystals and a touch of Sterling Silver .",cool: of or at a relatively low temperature,cooled stick,0
"I made the two little ghosts out of mulberry paper , used an eyelet setter to punch out the holes for the mouth and eyes , backed it with a scrap of [black] card stock and tied black embroidery floss around the neck .","black: evil, bad, unsavory",blackened card,0
"What a [cool] name for a Toastmasters club , I thought .",cool: of or at a relatively low temperature,cooled name,0
Job site pics of people in [hard] hats .,"hard: Firm, solid, resistant to pressure, tangible",hardened hats,1
"Standard RAM is 256 to 512 mb , 30 gb or larger [hard] drives .","hard: Firm, solid, resistant to pressure, tangible",hardened drives,1
"However , these regions have another important factor ; the nighttime temperatures and [cool] morning fog allow the acidity in the grapes to flourish .",cool: of or at a relatively low temperature,cooled fog,1
If you want to control your husband then you are on right place where you can get help of [black] magic .,"black: evil, bad, unsavory",blackened magic,1
"The open living room is now ready for life and art , using [black] and white as the .","black: evil, bad, unsavory",blackened using,0
In [hard] to reach places like the bottom and around the brick arch use the back of a spoon to smooth .,"hard: Firm, solid, resistant to pressure, tangible",hardened In,0
"Once you have integrated all the wonderful feedback from your network , ensure you engage in one last [hard] copy proof .","hard: Firm, solid, resistant to pressure, tangible",hardened copy,1
"Greta Van Fleet – which took its name from one of the close - knit community ’s town elders of Frankenmuth , Michigan – is a [hard] rocking quartet whose creative ambitions and achievements reach far beyond the ages of the four band members .","hard: Firm, solid, resistant to pressure, tangible",hardened rocking,0
We can become so overwhelmed with so many details and sometimes it is [hard] to focus .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"The lower part of the body is [black] , as is in the interior .","black: evil, bad, unsavory",blackened is,0
That 'd be [cool] .,cool: of or at a relatively low temperature,cooled be,0
