target,sentence,label
cool,Store in [cool] dry place .,cool_2
cool,"If you look through paint samples , you 'll find tan colors with both warm and [cool] hues .",cool_2
cool,"Anyway , even though not truly permanent , this would be really [cool] technology if it were possible !",cool_1
cool,The duo ’s Insta banter was [cool] for it ’s fans who too enjoyed it .,cool_1
cool,"Two of my favorite rooms in the home are also down here , including the media room ( with a [cool] framed flat - screen television ) and an exercise room , which I 'd love to have in my own home .",cool_1
hard,Asus uses a 160 GB sized [hard] disk in a 2.5 inch format as the memory unit .,hard_3
hard,"Everyone this morning pushed it [hard] to give the mission their best shot , even though they had to report the dead animals over the radio .",hard_2
hard,"But , cooking steak 4 times a year is [hard] on all accounts .",hard_1
cool,"This card was drawn on 28th November 2018 the weather had been [cool] , cloudy and generally miserable for weeks and I needed some cool colours and fun to change my mood , I hope Tabatha Tiger has the same effect on you .",cool_2
hard,Flags can be easy or [hard] to use depending on their weight and size .,hard_1
cool,Late last year I reached out on social media to find out if anyone had a [cool] 911 I could photograph and very soon after Tom at Paul Stephens 911 in Essex reached out and said ' Yes ' .,cool_1
hard,"It 's [hard] to tell , is different for everyone .",hard_1
hard,"individual differences and devises programs that demand [hard] work and challenge , but are not excessive .",hard_2
cool,I was bored and was thinking of [cool] projects to do .,cool_1
hard,"When a pet is sick or ill , it can be [hard] to receive the care they need without the stress of high veterinary bills .",hard_1
hard,"We take a new Class 1 Class C , E and G [hard] hat and each hat is prepared and dipped one a a time .",hard_3
hard,"Has some [hard] to see , minor scratches along the stainless steel edging as well as on the cast iron grates .",hard_1
cool,"No I have never used the clip the way it is advertised on the streamlight website I have never clipped it to my cap , but having the option is [cool] I guess .",cool_1
cool,Developing new presentations and assignments is [cool] but it takes time .,cool_1
cool,How [cool] is that ?,cool_1
cool,That ’s [cool] about the Moleskine Exchange .,cool_1
cool,"We were able to catch the last couple days of warm weather before fall officially hit , and after a very long , hot , humid summer , the rain , and crisp , [cool] air felt great !",cool_2
cool,I try to at least end with [cool] water since I love a hot shower !,cool_2
cool,Today is going to be a hot one so i m going to try and keep [cool] the best way I can .,cool_2
cool,"In the week prior to the convention , I had been pooling a variety of sources for [cool] handouts .",cool_1
hard,"I 've read a great deal of your blog that detailed the year you lived on an island , and I know that must have been really [hard] to orchstrate , but you made it happen .",hard_1
hard,"Small bladed lures and jointed [hard] bodies are working in the Rubicon , Acheron and big rivers as well as Snobs creek .",hard_3
hard,It 's [hard] .,hard_1
hard,He thought long and [hard] and came up with MODESTY BLAISE .,hard_2
