,target,sentence,label
0,cool,It 's so cool to see how such old software can still run under Windows 10 .,cool_1
1,cool,I was bored and was thinking of cool projects to do .,cool_1
2,cool,Let cool for 10 minutes before filling .,cool_2
3,cool,We discovered a really cool stacked vertebra !,cool_1
4,cool,Throw these across your hands for a cool look !,cool_1
5,cool,How cool would that be ? !,cool_1
6,cool,There are lots of cool photos in all 3 sections .,cool_1
7,cool,The really neat thing about the truss system is the cool special truss hanger that is used to nail all eight trusses together .,cool_1
8,cool,Hiya very cool site ! !,cool_1
9,cool,What s up very cool website ! !,cool_1
10,cool,It does sound weird to recommend a whitening shampoo but the Whitening Shampoo does not lighten but in fact adds cool tones and this tonal quality will assist in camouflaging the red / brown tones from the coat which are more evident as the coat has faded and lost the cool hues of the coat colour .,cool_2
11,cool,The impact on a heavy wine is limited but malic acid on cool climate wines or thin skinned grapes will cause a slight colour loss .,cool_2
12,cool,"The supplies for a cool home plan will probably be slightly totally different from a standard house , as a result of insulating materials shall be prevented .",cool_2
13,cool,I particularly like the cool 812.5 years ROI on double glazing .,cool_1
14,cool,"She could n’t find a product on the market that would have made a difference for Ripley , so she took matters into her own hands and came up with a cool mat that would provide pets comfort in even the hottest conditions .",cool_2
15,cool,"Move the person to a cool , shady place .",cool_2
16,cool,Here day by day its getting hot & humid and definitely need of some healthy thirst quencher to stay cool & fresh .,cool_2
17,cool,"From morning jogs to weekend hiking adventures , design your own water bottle to accompany you and keep you hydrated and looking cool at the same time .",cool_1
18,cool,how cool are these tie dye bags ?,cool_1
19,cool,A cool breeze brushed past the young girl ’s caramel hair .,cool_2
20,cool,That 'd be cool .,cool_1
21,cool,"Remove from heat and let cool 5 minutes before stirring in cream cheese , cheddar , salt and cayenne .",cool_2
22,cool,"What happened to the cool , Fall weather ? ? ?",cool_2
23,cool,"I guess I would classify the book as pop linguistics- a very cool and enticing premise , even if it may be taken a little far .",cool_1
24,cool,It ’s also really cool to see people you know be apart of the production and give back to the community .,cool_1
25,cool,"Sam now can perform a variety of cool new moves , has lots of new weapons , and he can highlight multiple targets at once and take them out in quick succession .",cool_1
26,cool,Let the water cool for 30 seconds .,cool_2
27,cool,"When he came into our lives , he joined our beautiful dog Winnie and our incredibly cool and feisty cat , Zippity ( both of blessed memory ) .",cool_1
28,cool,"It is going to save you a bunch of time , all that cool stuff , right ?",cool_1
29,cool,"For those cool summer nights drift off in the breeze , on a newly added Pawley 's Island swing , from the top floor screened porch overlooking the sound .",cool_2
30,cool,"It ’s usually very cool and as well , jam - packed with fun for me personally and my office fellow workers to visit your web site nearly three times per week to find out the fresh stuff you have got .",cool_1
31,cool,100 cool ideas !,cool_1
32,cool,A cool Peppermint Cobalt flavor that s as cold as ice .,cool_2
33,cool,"What I think you should do , is check out some cool hairstyles that you think you want for yourself , and then when you 're older , you can use that .",cool_1
34,cool,"The collarless design keeps you cool and comfortable during the warm season , whilst the minimalist single - button fastening and dual rear vents retain a key silhouette for a smart yet comfortable fit .",cool_2
35,cool,"I want to dress like her because I find her fashion very , very cool , despite the hatred she gets for it in school .",cool_1
36,cool,Attention all cool people !,cool_1
37,cool,Very cool ice photos !,cool_1
38,cool,"When cool , tough Chris Rush drifts into the gang , Mog finds a hero and a best friend .",cool_1
39,cool,These are really cool looking .,cool_1
40,cool,After that cool to the room temperature .,cool_2
41,cool,You could also ask a lot more suggestions from buddies who had skilled in making a cool bedroom .,cool_1
42,cool,"The magnetic field inhibits convection , or the distribution of heat , resulting in a cool sunspot ( Tayler 29 ) .",cool_2
43,cool,It 's 94 % humidity and a cool 21 degrees Celcius .,cool_2
44,cool,Summer weather has begun and it ’s starting to become difficult to stay cool through long warm summer days .,cool_2
45,cool,This can offer a powerful and cool try to find the new Azera .,cool_1
46,cool,"Remove them from the oven , and cool right on the pans ; or transfer to a rack to cool .",cool_2
47,cool,"While 75 % of our guests are completely happy to enjoy an unstructured windjammer vacation , we do offer some pretty cool specialty cruises .",cool_1
48,cool,Picnic sets and cool bags are also available for those adventurous days out to the beach or national parks .,cool_1
49,cool,How am I going to be successful and cool and make Him known all at once ?,cool_1
50,cool,Deltamedia.com has its own links to many cool sites .,cool_1
51,cool,"A cool breeze through the night air flowed through her long , brown hair that hung at the back of her thighs .",cool_2
52,cool,This cool earrings from Marc by Marc Jacobs is a really good if you need to pep up your everyday look .,cool_1
53,cool,"If you were known as the cool guy or gal before , wait till you arrive at the prom venue in a limo and impress everyone even more .",cool_1
54,cool,The original fragrance symbolizes timeless elegance and classicism ; Legend Intense from 2013 is its night version ; and the new edition is announced as the ultimate timeless and cool scent .,cool_2
55,cool,How cool are these Mambi chipboard stickers - my new favs !,cool_1
56,cool,Enjoy a refreshing dip in the cool water of Premier Lake .,cool_2
57,cool,This study explores that clean surface will have higher thermal absorptivity and will give cool feeling when it will be touched by human skin .,cool_2
58,cool,"However , cool winds that blow in the region during this month make the weather little suitable for carrying out outdoor activities and sightseeing .",cool_2
59,cool,Thanks to the nice guys behind GastroGays.com for showing me this cool trick a while back !,cool_1
